,name_1,currency,Average Price,price
0,ABI.BR,EUR,54.04136692488092,52.25
1,Brazilian Fund,BRL,995.8903373704486,987.6047
2,GOOGL,USD,116.37225835096429,100.99
3,HD,USD,322.7630730156233,295.99
4,IBM,USD,136.4904033227166,121.74
5,INTC,USD,50.60686356332006,28.16
6,Indian Fund,INR,3422.0183729963037,1281.186
7,Investment Fund,USD,1000.0,1000.0
8,PETR3.SA,BRL,33.32562334162307,34.68
9,QSR,USD,63.351215173403546,51.11
10,SONY,USD,83.15408476304256,81.1
11,TSLA,USD,229.69467283288023,109.1
12,VALE3.SA,BRL,74.04835749421632,67.72
